problem_id,predicted_schema,slot_name,slot_type,case_type,selected_raw,selected_value,selected_type,selected_forms,selected_roles,gold_value,gold_raw,gold_type,gold_forms,gold_roles,gold_rank,same_type_candidate_count,compatible_candidate_count,selected_role_quantity_score,gold_role_quantity_score,selected_reasons,gold_reasons,separability,could_fix_type_gate,assignment_margin,retrieval_margin
nlp4lp_test_70,nlp4lp_test_70,ManualEnergyConsumption,float,same_type_ambiguity,75,75.0,int,bound;per_unit;rate,constraint_coefficient;lower_bound;rate,20,20,int,bound;per_unit;rate,constraint_coefficient;lower_bound;rate,4,10,10,2,1,entity:manual;type_match,type_match,not_separable,0,25.0,0.18754308206292486
nlp4lp_test_79,nlp4lp_test_79,PartTimeHoursPerShift,float,total_perunit,500,500.0,int,rate,rate,4,4,int,count;per_unit;rate,cardinality;constraint_coefficient;rate,3,3,6,3,10,form:rate;type_match,form:per_unit;form:rate;role:constraint_coefficient;entity:part;entity:shift;entity:time;type_match,separable,0,492.0,0.4239295724276938
nlp4lp_test_79,nlp4lp_test_79,PartTimePayPerShift,float,same_type_ambiguity,$300,300.0,currency,cost;currency;per_unit;rate,constraint_coefficient;objective_coefficient;rate,100,$100,currency,cost;currency;per_unit;rate,constraint_coefficient;objective_coefficient;rate,2,0,2,9,9,form:per_unit;form:rate;role:constraint_coefficient;entity:part;entity:shift;entity:time,form:per_unit;form:rate;role:constraint_coefficient;entity:part;entity:shift;entity:time,ambiguous,0,200.0,0.4239295724276938
nlp4lp_test_97,nlp4lp_test_97,PeopleTreatedPerRegularBatch,float,total_perunit,3000,3000.0,int,count;total,cardinality;rhs_capacity,50,60,int,count,cardinality,2,8,8,1,1,type_match,type_match,ambiguous,0,2940.0,0.5601439975861592
nlp4lp_test_97,nlp4lp_test_97,PeopleTreatedPerPremiumBatch,float,total_perunit,60,60.0,int,count,cardinality,30,30,int,per_unit,constraint_coefficient,6,7,7,1,8,type_match,form:per_unit;role:constraint_coefficient;entity:batch;entity:people;entity:premium;type_match,separable,0,10.0,0.5601439975861592
nlp4lp_test_97,nlp4lp_test_97,MinRegularBatches,int,bound_role,40,40.0,int,count;per_unit,cardinality;constraint_coefficient,10,10,int,bound,lower_bound,3,3,3,5,7,form:count;role:cardinality;type_match,form:bound;role:lower_bound;entity:batches;entity:regular;type_match,separable,0,10.0,0.5601439975861592
nlp4lp_test_98,nlp4lp_test_98,AutomaticMachineTimePerPatient,float,total_perunit,20000,20000.0,int,bound;rate,lower_bound;rate;upper_bound,10,10,int,bound;count;per_unit;rate,cardinality;constraint_coefficient;lower_bound;rate,4,4,4,3,9,form:rate;type_match,form:per_unit;form:rate;role:constraint_coefficient;entity:automatic;entity:patient;type_match,separable,0,19980.0,0.34124163121399
nlp4lp_test_109,nlp4lp_test_109,BrainMedicineMin,float,bound_role,8,8.0,int,bound,upper_bound,4,4,int,bound,lower_bound,2,13,13,4,6,form:bound;entity:medicine;type_match,form:bound;role:lower_bound;entity:medicine;type_match,separable,0,4.0,0.3449440851976979
nlp4lp_test_118,nlp4lp_test_118,MinimumNasalSwabs,float,bound_role,20000,20000.0,int,bound;per_unit;rate,constraint_coefficient;lower_bound;rate,30,30,int,bound,lower_bound,2,5,5,5,7,form:bound;role:lower_bound;type_match,form:bound;role:lower_bound;entity:nasal;entity:swabs;type_match,separable,0,19970.0,0.5372756071803895
nlp4lp_test_118,nlp4lp_test_118,TimeNasalSwab,float,same_type_ambiguity,4,4.0,int,bound,lower_bound,3,3,int,bound;per_unit;rate,constraint_coefficient;lower_bound;rate,2,2,2,2,3,entity:swab;type_match,entity:nasal;entity:swab;type_match,separable,0,1.0,0.5372756071803895
nlp4lp_test_128,nlp4lp_test_128,TimeSwabTest,float,same_type_ambiguity,20,20.0,int,bound,lower_bound,15,15,int,bound;per_unit;rate,constraint_coefficient;lower_bound;rate,2,3,3,1,2,type_match,entity:swab;type_match,separable,0,5.0,0.23298880093038044
nlp4lp_test_156,nlp4lp_test_156,MinLargeWagons,float,bound_role,50,50.0,int,generic_scalar,unknown,10,10,int,bound,lower_bound,3,3,3,2,7,entity:large;type_match,form:bound;role:lower_bound;entity:large;entity:wagons;type_match,separable,0,30.0,0.4965103292804539
nlp4lp_test_165,nlp4lp_test_165,SmallJarCapacity,float,same_type_ambiguity,200,200.0,int,generic_scalar,unknown,50,50,int,generic_scalar,unknown,2,2,2,2,3,entity:jar;type_match,entity:jar;entity:small;type_match,separable,0,150.0,0.5329435962636484
nlp4lp_test_175,nlp4lp_test_175,BrickCapacityCow,float,same_type_ambiguity,1000,1000.0,int,bound;demand,lower_bound;rhs_capacity,20,20,int,generic_scalar,unknown,3,3,3,3,2,role:rhs_capacity;type_match,entity:cow;type_match,not_separable,0,950.0,0.5488247985049272
nlp4lp_test_186,nlp4lp_test_186,CanoeCapacity,float,same_type_ambiguity,15,15.0,int,generic_scalar,unknown,10,10,int,generic_scalar,unknown,2,3,3,1,2,type_match,entity:canoe;type_match,separable,0,5.0,0.5878722591575967
nlp4lp_test_195,nlp4lp_test_195,ProfitPlushToy,currency,objective_constraint,$700,700.0,currency,bound;currency,upper_bound,4,$4,currency,currency;per_unit;profit,constraint_coefficient;objective_coefficient,2,7,7,3,7,form:currency;type_match,form:currency;form:profit;role:objective_coefficient;type_match,separable,0,696.0,0.5669970486047795
nlp4lp_test_195,nlp4lp_test_195,MinPlushSold,float,bound_role,190,190.0,int,bound;per_unit,constraint_coefficient;upper_bound,90,90,int,bound,lower_bound;upper_bound,2,2,6,5,6,form:bound;entity:plush;entity:sold;type_match,form:bound;role:lower_bound;entity:plush;type_match,separable,0,100.0,0.5669970486047795
nlp4lp_test_195,nlp4lp_test_195,CostDoll,currency,objective_constraint,$4,4.0,currency,currency;per_unit;profit,constraint_coefficient;objective_coefficient,2,$2,currency,bound;cost;currency;per_unit,constraint_coefficient;objective_coefficient;upper_bound,3,4,4,6,8,form:currency;role:objective_coefficient;entity:doll;type_match,form:cost;form:currency;role:objective_coefficient;entity:doll;type_match,separable,0,1.0,0.5669970486047795
nlp4lp_test_203,nlp4lp_test_203,MaxAverageLossProbability,float,bound_role,two,2.0,int,generic_scalar,unknown,0.3,$0.5,currency,currency,unknown,4,1,5,1,0,type_match,,not_separable,0,900002.0,0.5209375687521155
nlp4lp_test_204,nlp4lp_test_204,EarningsPerFreezer,float,total_perunit,20000,20000.0,int,bound;rate;total,lower_bound;rate;rhs_capacity,375,$375,currency,currency;per_unit;profit,constraint_coefficient;objective_coefficient,7,6,8,3,5,form:rate;type_match,form:per_unit;role:constraint_coefficient;entity:freezer,separable,0,15000.0,0.3201256454865233
nlp4lp_test_204,nlp4lp_test_204,InspectionTimeFreezer,float,same_type_ambiguity,90,90.0,int,bound;per_unit;rate,constraint_coefficient;lower_bound;rate,20,20,int,bound;per_unit;rate,constraint_coefficient;lower_bound;rate,3,3,5,3,3,entity:inspection;entity:time;type_match,entity:freezer;entity:inspection;type_match,ambiguous,0,60.0,0.3201256454865233
nlp4lp_test_204,nlp4lp_test_204,EarningsPerWashingMachine,float,objective_constraint,30,30.0,int,bound;count;per_unit;rate,cardinality;constraint_coefficient;lower_bound;rate,250,$250,currency,currency;per_unit;profit,constraint_coefficient;objective_coefficient,4,2,4,8,5,form:per_unit;form:rate;role:constraint_coefficient;entity:washing;type_match,form:per_unit;role:constraint_coefficient;entity:washing,not_separable,0,10.0,0.3201256454865233
nlp4lp_test_215,nlp4lp_test_215,CartWorkersRequired,int,same_type_ambiguity,100,100.0,int,bound;rate,lower_bound;rate,2,2,int,bound;count;per_unit,cardinality;constraint_coefficient;lower_bound,6,6,6,1,5,type_match,form:count;role:cardinality;type_match,separable,0,88.0,0.3806621007691899
nlp4lp_test_215,nlp4lp_test_215,TrolleyWorkersRequired,int,same_type_ambiguity,7,7.0,int,bound;count;per_unit,cardinality;constraint_coefficient;lower_bound,4,4,int,bound;count;per_unit,cardinality;constraint_coefficient;lower_bound,3,4,4,5,5,form:count;role:cardinality;type_match,form:count;role:cardinality;type_match,ambiguous,0,2.0,0.3806621007691899
nlp4lp_test_223,nlp4lp_test_223,GraduateResearcherShiftHours,float,same_type_ambiguity,500,500.0,int,demand;rate,rate;rhs_capacity,5,5,int,per_unit;rate,constraint_coefficient;rate,3,3,6,1,4,type_match,entity:graduate;entity:researcher;entity:shift;type_match,separable,0,492.0,0.276498008823315
nlp4lp_test_223,nlp4lp_test_223,GraduateResearcherPayment,float,objective_constraint,8,8.0,int,per_unit;rate,constraint_coefficient;rate,100,$100,currency,cost;currency;per_unit;rate,constraint_coefficient;objective_coefficient;rate,3,2,3,3,1,entity:graduate;entity:researcher;type_match,entity:graduate,not_separable,0,3.0,0.276498008823315
nlp4lp_test_244,nlp4lp_test_244,AutoElectricElectricityUsage,float,same_type_ambiguity,50,50.0,int,bound;per_unit,constraint_coefficient;upper_bound,6,7,int,per_unit;rate,constraint_coefficient;rate,3,11,11,2,1,entity:electricity;type_match,type_match,not_separable,0,35.0,0.25866039615538794
nlp4lp_test_245,nlp4lp_test_245,TrainCapacity,float,total_perunit,600,600.0,int,bound;per_unit;rate;total,constraint_coefficient;lower_bound;rate;rhs_capacity,120,120,int,per_unit;rate,constraint_coefficient;rate,2,4,4,5,2,form:total;role:rhs_capacity;type_match,entity:train;type_match,not_separable,0,480.0,0.6992524265023571
nlp4lp_test_253,nlp4lp_test_253,CommonCostPerHour,currency,objective_constraint,$100,100.0,currency,currency;per_unit;rate,constraint_coefficient;rate,72,$72,currency,currency;per_unit;rate,constraint_coefficient;rate,2,7,7,10,10,form:currency;form:per_unit;form:rate;role:constraint_coefficient;entity:common;type_match,form:currency;form:per_unit;form:rate;role:constraint_coefficient;entity:common;type_match,ambiguous,0,28.0,0.5849368533180697
nlp4lp_test_260,nlp4lp_test_260,WesternFactoryPlasticUsage,float,same_type_ambiguity,"800,000",800000.0,int,bound,lower_bound,35,40,int,per_unit;rate,constraint_coefficient;rate,8,10,10,1,4,type_match,entity:factory;entity:plastic;entity:western;type_match,separable,0,100000.0,0.5191782293894142
nlp4lp_test_260,nlp4lp_test_260,NorthernFactoryPlasticUsage,float,same_type_ambiguity,"60,000",60000.0,int,total,rhs_capacity,40,40,int,per_unit;rate,constraint_coefficient;rate,6,8,8,2,4,entity:plastic;type_match,entity:factory;entity:northern;entity:plastic;type_match,separable,0,59200.0,0.5191782293894142
nlp4lp_test_261,nlp4lp_test_261,AvailableStaffTime,float,total_perunit,530,530.0,int,bound;rate,lower_bound;rate,400,400,int,bound;rate;total,lower_bound;rate;rhs_capacity,2,9,9,2,6,entity:staff;type_match,form:total;role:rhs_capacity;entity:staff;type_match,separable,0,130.0,0.6011867411120082
nlp4lp_test_261,nlp4lp_test_261,MaxTotalBatches,int,total_perunit,400,400.0,int,bound;rate;total,lower_bound;rate;rhs_capacity,100,100,int,bound,upper_bound,2,8,8,7,6,form:bound;form:total;role:rhs_capacity;type_match,form:bound;role:upper_bound;entity:batches;type_match,not_separable,0,300.0,0.6011867411120082
nlp4lp_test_261,nlp4lp_test_261,TreatmentPerBatchAntiBioticCream,float,same_type_ambiguity,5,5.0,int,bound;per_unit;rate,constraint_coefficient;lower_bound;rate,2,2,int,per_unit,constraint_coefficient,5,5,5,7,7,form:per_unit;form:rate;role:constraint_coefficient;type_match,form:per_unit;role:constraint_coefficient;entity:batch;entity:cream;type_match,ambiguous,0,0.0,0.6011867411120082
nlp4lp_test_285,nlp4lp_test_285,NumProducts,int,same_type_ambiguity,24,24.0,int,rate,rate,7,six,int,per_unit;rate,constraint_coefficient;rate,2,2,2,1,1,type_match,type_match,ambiguous,0,18.0,0.018668599408724507
nlp4lp_test_307,nlp4lp_test_307,SteelQuantity,float,same_type_ambiguity,million,1000000.0,int,bound;cost;currency;per_unit;rate,constraint_coefficient;lower_bound;objective_coefficient;rate,1000,thousand,int,bound;cost;currency;per_unit;rate,constraint_coefficient;lower_bound;objective_coefficient;rate,4,4,4,1,1,type_match,type_match,ambiguous,0,0.0,0.06101661842630551
