query_id,classification,relevant_sentence,extracted_multiplier_expression,old_extracted_mentions,new_extracted_mentions,affected_slots,old_coverage,new_coverage,old_type_match,new_type_match,old_strict_ready,new_strict_ready,old_ordinary_ready,new_ordinary_ready,old_exact5,new_exact5,old_exact20,new_exact20,exact5_delta,exact20_delta
nlp4lp_test_124,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"Both sulfate and ginger need to be added to a shampoo. One unit of sulfate takes 0.5 minutes to be effective while one unit of ginger takes 0.75 minutes to be effective. The shampoo must contain at least 100 units of sulfates and a total of 400 units of both ingredient. Since too much sulfate can damage the hair, there can be at most twice the amount of sulfate as ginger in the shampoo. How many units of each should be added to the shampoo to minimize the total amount of time it takes for the mixture to be effective? (Note: one must be added before the other)",RATIO_WORD:twice,One:1.0:int | 0.5:0.5:float | one:1.0:int | 0.75:0.75:float | 100:100.0:int | 400:400.0:int | one:1.0:int,One:1.0:int | 0.5:0.5:float | one:1.0:int | 0.75:0.75:float | 100:100.0:int | 400:400.0:int | one:1.0:int | RATIO_WORD:twice:2.0:percent,MaxSulfateToGingerRatio:One->RATIO_WORD:twice,1.0,1.0,0.8,1.0,1,1,1,1,0.2,0.4,0.2,0.4,0.2,0.2
nlp4lp_test_128,CORRECT_MULTIPLICATIVE_RESCUE,"A popup clinic is doing virus testing with either spit tests or swabs. A spit test takes 10 minutes to administer while a  swab takes 15 minutes to administer. Since the spit test is more accurate, at least twice as many spit tests should be given as  swabs. However, at least 20  swabs must be administers. If the popup clinic operates for 8000 minutes, maximize the number of tests that can be administered.",RATIO_WORD:twice,10:10.0:int | 15:15.0:int | 20:20.0:int | 8000:8000.0:int,10:10.0:int | 15:15.0:int | 20:20.0:int | 8000:8000.0:int | RATIO_WORD:twice:2.0:percent,MinRatioSpitToSwab:15->RATIO_WORD:twice ; MinSwabTests:10->15 ; TotalOperatingTime:->10,0.8,1.0,0.75,1.0,0,1,0,1,0.25,0.6,0.25,0.6,0.35,0.35
nlp4lp_test_139,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"A bee farmer transports his honey in small and large bottles. A small bottle can take 5 units of honey while a large bottle can take 20 units of honey. The farmer has available at most 300 small bottles and at most 100 large bottles. In addition, since small bottles are easier to sell, at least twice as many small bottles must be used than large bottles. Finally, he can transport at most 200 bottles total and at least 50 must be large bottles. How many of each bottle should be use to maximize the total amount of honey he can transport?",RATIO_WORD:twice,5:5.0:int | 20:20.0:int | 300:300.0:int | 100:100.0:int | 200:200.0:int | 50:50.0:int,5:5.0:int | 20:20.0:int | 300:300.0:int | 100:100.0:int | 200:200.0:int | 50:50.0:int | RATIO_WORD:twice:2.0:percent,MinRatioSmallToLarge:20->RATIO_WORD:twice ; MaxTotalBottles:5->20 ; MinLargeBottles:->5,0.8571428571428571,1.0,0.8333333333333334,1.0,1,1,1,1,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
nlp4lp_test_149,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"A florist transports his flowers to stores in small bouquets and large bouquets. A small bouquet has 5 flowers while a large bouquet has 10 flowers. The florist can transport at most 80 small bouquets and 50 large bouquets. In total, he can transport at most 70 bouquets and he must transport at least 20 large bouquets. Since small bouquets are more popular, he must transport at least twice as many small bouquets as large bouquets. How many of each bouquet should he transport to maximize the total number of flowers that reach the stores?",RATIO_WORD:twice,5:5.0:int | 10:10.0:int | 80:80.0:int | 50:50.0:int | 70:70.0:int | 20:20.0:int,5:5.0:int | 10:10.0:int | 80:80.0:int | 50:50.0:int | 70:70.0:int | 20:20.0:int | RATIO_WORD:twice:2.0:percent,MinSmallToLargeRatio:->RATIO_WORD:twice,0.8571428571428571,1.0,0.8333333333333334,1.0,1,1,1,1,0.16666666666666666,0.2857142857142857,0.16666666666666666,0.2857142857142857,0.11904761904761904,0.11904761904761904
nlp4lp_test_156,CORRECT_MULTIPLICATIVE_RESCUE,"A mine sends ore to the surface in small and large wagons. A small wagon hold 20 units of ore while a large wagon holds 50 units of ore. To avoid taking up too much space on the ramps, the number of small wagons must be at least twice as much as the number or large wagons. In addition, at least 10 large wagons must be used. If 2000 units of ore need to taken to the surface, minimize the total number of wagons needed.",RATIO_WORD:twice,20:20.0:int | 50:50.0:int | 10:10.0:int | 2000:2000.0:int,20:20.0:int | 50:50.0:int | 10:10.0:int | 2000:2000.0:int | RATIO_WORD:twice:2.0:percent,MinSmallToLargeRatio:20->RATIO_WORD:twice ; MinLargeWagons:10->20 ; TotalOre:->10,0.8,1.0,0.75,1.0,0,1,0,1,0.25,0.2,0.25,0.2,-0.04999999999999999,-0.04999999999999999
nlp4lp_test_159,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"A snack exporter sends snacks to his customer in small and large suitcases. A small suitcase can hold 50 snacks while a large suitcase can hold 80 snacks. Most customer prefer small suitcases, and so at least twice as many small suitcases must be used as large suitcases. The exporter has available at most 70 small suitcases and 50 large suitcases. If he must send at least 15 large suitcases and can send  at most 70 suitcases in total, how many of each should he send to maximize the total number of snacks that can be delivered?",RATIO_WORD:twice,50:50.0:int | 80:80.0:int | 70:70.0:int | 50:50.0:int | 15:15.0:int | 70:70.0:int,50:50.0:int | 80:80.0:int | 70:70.0:int | 50:50.0:int | 15:15.0:int | 70:70.0:int | RATIO_WORD:twice:2.0:percent,MinSmallToLargeRatio:70->RATIO_WORD:twice ; MaxSmallSuitcases:50->70 ; MinLargeSuitcases:15->50 ; MaxTotalSuitcases:->15,0.8571428571428571,1.0,0.8333333333333334,1.0,1,1,1,1,0.16666666666666666,0.5714285714285714,0.3333333333333333,0.5714285714285714,0.40476190476190477,0.23809523809523808
nlp4lp_test_163,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"A recycling company collects recycling from neighborhoods using small and large bins. A small bin requires 2 workers while a large bin requires 5 workers. A small bin can hold 25 units of recycling material and a large bin can hold 60 units of recycling material. The company has available 100 workers. Because most people don't recycle, the number of small bins must be three times the number of large bins. In addition, there must be at least 10 small bins and 4 large bins. How many of each bin type should be used to maximize the total amount of recycling material that can be collected?",RATIO_WORD:triple,2:2.0:int | 5:5.0:int | 25:25.0:int | 60:60.0:int | 100:100.0:int | three:3.0:int | 10:10.0:int | 4:4.0:int,2:2.0:int | 5:5.0:int | 25:25.0:int | 60:60.0:int | 100:100.0:int | three:3.0:int | 10:10.0:int | 4:4.0:int | RATIO_WORD:triple:3.0:percent,SmallBinToLargeBinRatio:4->RATIO_WORD:triple ; MinimumSmallBins:three->4 ; MinimumLargeBins:2->three,1.0,1.0,0.875,1.0,1,1,1,1,0.125,0.125,0.125,0.125,0.0,0.0
nlp4lp_test_166,REGRESSION,"A corn farmer sends his corn to the city by either tractor or car.  A tractor can carry 40 kg of corn while a car can carry 20 kg of corn. Since tractors are very slow, the number of cars used has to be at least twice the number of tractors used. If at least 500 kg of corn need to be sent to the city, minimize the total number of tractors and cars needed.",RATIO_WORD:twice,40:40.0:int | 20:20.0:int | 500:500.0:int,40:40.0:int | 20:20.0:int | 500:500.0:int | RATIO_WORD:twice:2.0:percent,MinimumCornToSend:->RATIO_WORD:twice,0.75,1.0,1.0,0.75,0,0,0,0,0.6666666666666666,0.5,0.6666666666666666,0.5,-0.16666666666666663,-0.16666666666666663
nlp4lp_test_169,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"A water salesman collects water from a glacier and transports it in either small or large kegs. A small keg can hold 40 liters of water while a large keg can hold 100 liters of water. The salesman has available at most 30 small kegs and 10 large kegs. Since small kegs are easier to carry, at least twice as may small kegs must be used than large kegs. If he can transport at most 25 kegs total and at least 5 kegs must be large, how many of each should he use to maximize the total amount of glacial water he can transport?",RATIO_WORD:twice,40:40.0:int | 100:100.0:int | 30:30.0:int | 10:10.0:int | 25:25.0:int | 5:5.0:int,40:40.0:int | 100:100.0:int | 30:30.0:int | 10:10.0:int | 25:25.0:int | 5:5.0:int | RATIO_WORD:twice:2.0:percent,MinLargeKegs:->RATIO_WORD:twice,0.8571428571428571,1.0,1.0,0.8571428571428571,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
nlp4lp_test_173,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"A factory transports rice to the city in horse-drawn carts that are either medium or large size. A medium sized cart requires 2 horses and can carry 30 kg of rice. A large sized cart requires 4 horses and can carry 70 kg of rice.  The factory has 60 horses available. Because the horses don't get along well, the number of medium sized carts must be three times the number of large sized carts. In addition, there must be at least 5 medium sized carts and at least 5 large sized carts. How many of each cart size should be used to maximize the amount of rice that can be transported?",RATIO_WORD:triple,2:2.0:int | 30:30.0:int | 4:4.0:int | 70:70.0:int | 60:60.0:int | three:3.0:int | 5:5.0:int | 5:5.0:int,2:2.0:int | 30:30.0:int | 4:4.0:int | 70:70.0:int | 60:60.0:int | three:3.0:int | 5:5.0:int | 5:5.0:int | RATIO_WORD:triple:3.0:percent,MediumToLargeCartRatio:4->RATIO_WORD:triple ; MinMediumCarts:three->4 ; MinLargeCarts:2->three,1.0,1.0,0.875,1.0,1,1,1,1,0.125,0.125,0.125,0.25,0.0,0.125
nlp4lp_test_175,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"A construction company in the tropics uses cows and elephants to carry bricks. A cow can carry 20 bricks on its back while an elephant can carry 50 bricks on its back. To avoid having elephants create too much traffic, the number of elephant cannot exceed the number of cows. In addition, there can be at most twice the number of cows as elephants. If the company needs to transport at least 1000 bricks, find the minimum number of animals, cows and elephants, that can be used..",RATIO_WORD:twice,20:20.0:int | 50:50.0:int | 1000:1000.0:int,20:20.0:int | 50:50.0:int | 1000:1000.0:int | RATIO_WORD:twice:2.0:percent,MaxElephantsToCowsRatio:20->RATIO_WORD:twice ; MaxCowsToElephantsRatio:->20,0.6,0.8,0.6666666666666666,0.75,0,0,0,0,0.0,0.25,0.0,0.25,0.25,0.25
nlp4lp_test_183,REGRESSION,"A snow removal company removes snow from neighborhoods using small trucks and large trucks. A small truck requires 2 people to shovel the snow and can carry 30 units of snow. A large truck require 4 people to shovel the snow and car carry 50 units of snow. The company has available 30 people. In addition, because some neighbourhood don’t allow big trucks, at least 10 trucks must be small. There must be at least 3 large trucks as well and the number of small trucks must be twice as much as the number of large trucks. How many of each truck should be used to maximize the total amount of snow that can be transported?",RATIO_WORD:twice,2:2.0:int | 30:30.0:int | 4:4.0:int | 50:50.0:int | 30:30.0:int | 10:10.0:int | 3:3.0:int,2:2.0:int | 30:30.0:int | 4:4.0:int | 50:50.0:int | 30:30.0:int | 10:10.0:int | 3:3.0:int | RATIO_WORD:twice:2.0:percent,SmallTrucksPerLargeTruck:->RATIO_WORD:twice,0.875,1.0,1.0,0.875,1,1,1,1,0.2857142857142857,0.25,0.2857142857142857,0.25,-0.0357142857142857,-0.0357142857142857
nlp4lp_test_195,CORRECT_MULTIPLICATIVE_RESCUE,A toy store sells plush toys and dolls. Each plush toy costs the store $3 and each doll costs the store $2. The store owner can spend at most $700 on inventory. Each plush toy is then sold for a profit of $4 while each doll is sold for a profit of $2. The owner estimates that at least 90 plush toys but at most 190 plush toys are sold each month. He also estimates that the number of dolls sold is at most twice the amount of plush toys sold. How many of each should be bought and sold to maximize profit?,RATIO_WORD:twice,$3:3.0:currency | $2:2.0:currency | $700:700.0:currency | $4:4.0:currency | $2:2.0:currency | 90:90.0:int | 190:190.0:int,$3:3.0:currency | $2:2.0:currency | $700:700.0:currency | $4:4.0:currency | $2:2.0:currency | 90:90.0:int | 190:190.0:int | RATIO_WORD:twice:2.0:percent,MaxDollToPlushRatio:->RATIO_WORD:twice,0.875,1.0,0.7142857142857143,1.0,0,1,0,1,0.14285714285714285,0.375,0.14285714285714285,0.375,0.23214285714285715,0.23214285714285715
nlp4lp_test_220,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"An amusement park has two types of games: throwing and climbing games. Throwing games attract 15 customers every hour and climbing games attract 8 customers every hour. Throwing games costs the amusement park $2 in prizes per hour whereas climbing games cost $3 in prizes per hour. Since throwing games yield the most profit, there must be at least twice as many throwing games as climbing games. However, at least 5 games must be climbing. If the amusement park can have at most $100 in prizes every hour, maximize the total number of customers attracted every hour.",RATIO_WORD:twice,two:2.0:int | 15:15.0:int | 8:8.0:int | $2:2.0:currency | $3:3.0:currency | 5:5.0:int | $100:100.0:currency,two:2.0:int | 15:15.0:int | 8:8.0:int | $2:2.0:currency | $3:3.0:currency | 5:5.0:int | $100:100.0:currency | RATIO_WORD:twice:2.0:percent,MinRatioThrowingClimbing:5->RATIO_WORD:twice ; MinClimbingGames:two->5,1.0,1.0,0.8571428571428571,1.0,1,1,1,1,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0
nlp4lp_test_223,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"A hospital hires ultrasound technicians and graduate researchers to image patients. An ultrasound technician works 8 hours per shift while a graduate researcher works 5 hours per shift. Ultrasound technicians are paid $300 per shift while graduate researchers are paid $100 per shift. However, due to regulations, there must be twice as many ultrasound technician shifts than graduate researcher shifts. Currently, the hospital needs 500 hours of ultrasound services to meet needs. If the hospital has a budget of $14000, how many of each worker certified to use the ultrasound should be scheduled to reduce the total number of workers?",RATIO_WORD:twice,8:8.0:int | 5:5.0:int | $300:300.0:currency | $100:100.0:currency | 500:500.0:int | $14000:14000.0:currency,8:8.0:int | 5:5.0:int | $300:300.0:currency | $100:100.0:currency | 500:500.0:int | $14000:14000.0:currency | RATIO_WORD:twice:2.0:percent,ShiftRatio:$300->RATIO_WORD:twice ; RequiredUltrasoundServiceHours:$100->$300 ; TotalBudget:->$100,0.8571428571428571,1.0,0.6666666666666666,0.7142857142857143,0,0,0,0,0.0,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855
nlp4lp_test_227,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"A neighbourhood pizza restaurant has opened and sells pizzas in two sizes; large pizza and medium pizza. Large pizzas require 12 units of dough, and 5 units of toppings. Medium pizzas require 8 units of dough, and 4 units of toppings. While large pizzas take 12 minutes to bake, medium pizzas require 8 minutes to bake. The neighbourhood pizza restaurant must use at least 10000 units of dough and 4400 units of toppings. Medium pizzas are popular due to a promotion, therefore, at least 200 medium pizzas must be made. There are regulars that prefer large pizzas and at least two times as many large pizzas should be made than medium pizzas. How many of each size of pizzas should the neighbourhood pizza restaurant make to reduce time spent baking?",RATIO_WORD:twice,two:2.0:int | 12:12.0:int | 5:5.0:int | 8:8.0:int | 4:4.0:int | 12:12.0:int | 8:8.0:int | 10000:10000.0:int | 4400:4400.0:int | 200:200.0:int | two:2.0:int,two:2.0:int | 12:12.0:int | 5:5.0:int | 8:8.0:int | 4:4.0:int | 12:12.0:int | 8:8.0:int | 10000:10000.0:int | 4400:4400.0:int | 200:200.0:int | two:2.0:int | RATIO_WORD:twice:2.0:percent,MinRatioLargeToMedium:two->RATIO_WORD:twice,1.0,1.0,0.9,1.0,1,1,1,1,0.1,0.1,0.1,0.1,0.0,0.0
nlp4lp_test_229,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"A hospital purchases two pills available for the patients to take one at a time. One pill is taken as a prevention and another is taken for treatment. The prevention pill takes 15 dollars to make while the treatment pill takes 25 dollars to make. Since the prevention pill is in higher demand, the hospital must purchase at least two times as many prevention pills as treatment pills. In addition, the hospital must purchase at least 50 treatment pills. If the clinic only has a budget of 10000 dollars, maximize the number of patients that can be treated.",RATIO_WORD:twice,two:2.0:int | one:1.0:int | One:1.0:int | 15:15.0:currency | 25:25.0:currency | two:2.0:int | 50:50.0:int | 10000:10000.0:currency,two:2.0:int | one:1.0:int | One:1.0:int | 15:15.0:currency | 25:25.0:currency | two:2.0:int | 50:50.0:int | 10000:10000.0:currency | RATIO_WORD:twice:2.0:percent,PreventionToTreatmentRatio:one->RATIO_WORD:twice,1.0,1.0,0.8,1.0,1,1,1,1,0.4,0.6,0.4,0.6,0.19999999999999996,0.19999999999999996
nlp4lp_test_236,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"A market owner wants to start a jam business. He can either sell one unit of jam to customers in a set of small packets or jugs. A set of small packets can hold 1000 ml of jam while a jug can hold 1250 ml of jam. Since a set of small packets are more expensive to make, at least three times as many jugs must be used than sets of small packets. On the other hand, at least 35 sets of small packets should be filled. If the market owner has 65000 ml of jam, how many sets of small packets or jugs should be selected to maximize the total number of units that he can sell to his customers?",RATIO_WORD:triple,one:1.0:int | 1000:1000.0:int | 1250:1250.0:int | three:3.0:int | 35:35.0:int | 65000:65000.0:int,one:1.0:int | 1000:1000.0:int | 1250:1250.0:int | three:3.0:int | 35:35.0:int | 65000:65000.0:int | RATIO_WORD:triple:3.0:percent,MinJugRatio:one->RATIO_WORD:triple,1.0,1.0,0.8,1.0,1,1,1,1,0.4,0.6,0.4,0.6,0.19999999999999996,0.19999999999999996
nlp4lp_test_239,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"A soda company sells soda in two types of containers: cans and glass bottles. A can holds 250 ml of soda whereas a bottle holds 1000 ml of soda. The soda company needs to bottle at least 1000000 ml of soda every day and due to the ability to sell soda cans as packs, there must be at least three times more cans than glass bottles. However, because of previous contracts with gas stations, there must be at least 100 glass bottles made. How many of each should be made to maximize the total number of units produced?",RATIO_WORD:triple,two:2.0:int | 250:250.0:int | 1000:1000.0:int | 1000000:1000000.0:int | three:3.0:int | 100:100.0:int,two:2.0:int | 250:250.0:int | 1000:1000.0:int | 1000000:1000000.0:int | three:3.0:int | 100:100.0:int | RATIO_WORD:triple:3.0:percent,RatioCansToBottles:100->RATIO_WORD:triple ; MinimumGlassBottles:three->100,1.0,1.0,0.8,1.0,1,1,1,1,0.2,0.6,0.2,0.6,0.39999999999999997,0.39999999999999997
